Manufacturer;Model;Sales_in_thousands;__year_resale_value;Vehicle_type;Price_in_thousands;Engine_size;Horsepower;Wheelbase;Width;Length;Curb_weight;Fuel_capacity;Fuel_efficiency;Latest_Launch;Power_perf_factor;Country;City;State;Region;name;email
Mercedes-B;SL-Class;3311;586;Passenger;826;5;302;99;713;1771;4125;211;20;3/17/2011;1399822936;United States;Portland;Oregon;West;Talia Bosco;julien15@example.org
Mercedes-B;SLK;7998;;Passenger;389;23;190;945;675;1579;3055;159;26;1/16/2011;8280736193;United States;New York City;New York;East;Talia Bosco;julien15@example.org
Mercedes-B;SLK230;1526;;Passenger;41;23;185;945;675;1573;2975;14;27;8/6/2011;8184896924;United States;San Francisco;California;West;Talia Bosco;julien15@example.org
Mercedes-B;CLK Coupe;11592;;Passenger;416;32;215;1059;678;1803;3213;164;26;7/8/2011;9292579177;United States;Saint Paul;Minnesota;Central;Prof. Roxanne Gusikowski V;hand.andrew@example.org
Mercedes-B;CL500;954;;Passenger;855;5;302;1136;731;1966;4115;232;20;4/11/2011;1411009845;United States;Chicago;Illinois;Central;Prof. Roxanne Gusikowski V;hand.andrew@example.org
Mercedes-B;M-Class;28976;;Car;353;32;215;111;722;1806;4387;19;20;2/10/2011;9049553213;United States;Chicago;Illinois;Central;Prof. Roxanne Gusikowski V;hand.andrew@example.org
Nissan;Sentra;42643;845;Passenger;13499;18;126;998;673;1775;2593;132;30;8/31/2011;5024197791;United States;Chicago;Illinois;Central;Prof. Roxanne Gusikowski V;hand.andrew@example.org
Nissan;Altima;88094;11295;Passenger;2039;24;155;1031;691;1835;3012;159;25;8/2/2011;6331372783;United States;Rochester;Minnesota;Central;Victoria Considine;herman.jay@example.net
Nissan;Maxima;79853;15125;Passenger;26249;3;222;1083;703;1905;3294;185;25;5/6/2011;8942782031;United States;Aurora;Colorado;West;Victoria Considine;herman.jay@example.net
Nissan;Quest;27308;1538;Car;26399;33;170;1122;749;1948;3991;20;21;3/7/2011;7117166413;United States;Aurora;Colorado;West;Victoria Considine;herman.jay@example.net
Nissan;Pathfinder;42574;1781;Car;29299;33;170;1063;717;1826;3947;21;19;9/25/2011;7229035508;United States;Aurora;Colorado;West;Victoria Considine;herman.jay@example.net
Nissan;Xterra;54158;;Car;22799;33;170;1043;704;178;3821;194;18;1/24/2011;6978294434;United States;Charlotte;North Carolina;South;Josefina Blick;jessie69@example.org
Nissan;Frontier;65005;;Car;1789;33;170;1161;665;1961;3217;194;18;8/27/2011;6788927059;United States;Charlotte;North Carolina;South;Josefina Blick;jessie69@example.org
Oldsmobile;Cutlass;1112;1124;Passenger;18145;31;150;107;694;192;3102;152;25;5/31/2011;6086161155;United States;Charlotte;North Carolina;South;Josefina Blick;jessie69@example.org
Oldsmobile;Intrigue;38554;;Passenger;2415;35;215;109;736;1959;3455;18;;4/1/2011;8627252291;United States;Orland Park;Illinois;Central;Josefina Blick;jessie69@example.org
Oldsmobile;Alero;80255;;Passenger;1827;24;150;107;701;1867;2958;15;27;10/20/2009;6072744693;United States;New York City;New York;East;Tyshawn Cassin;funk.malvina@example.net
Oldsmobile;Aurora;1469;1989;Passenger;36229;4;250;1138;744;2054;3967;185;22;2/18/2011;1034416926;United States;Urbandale;Iowa;Central;Tyshawn Cassin;funk.malvina@example.net
Oldsmobile;Bravada;20017;19925;Car;31598;43;190;107;678;1812;4068;175;19;9/21/2011;8051167259;United States;Urbandale;Iowa;Central;Tyshawn Cassin;funk.malvina@example.net
Oldsmobile;Silhouette;24361;1524;Car;25345;34;185;120;722;2014;3948;25;22;6/25/2011;7609657042;United States;Columbus;Ohio;East;Tyshawn Cassin;funk.malvina@example.net
Plymouth;Neon;32734;775;Passenger;1264;2;132;105;744;1744;2559;125;29;4/26/2011;5208489875;United States;Columbus;Ohio;East;Madisen Block PhD;renner.rubie@example.com
Plymouth;Breeze;524;98;Passenger;1608;2;132;108;71;1863;2942;16;27;11/14/2011;5341189767;United States;Columbus;Ohio;East;Madisen Block PhD;renner.rubie@example.com
Plymouth;Voyager;24155;12025;Car;1885;24;150;1133;768;1863;3528;20;24;4/24/2011;6095118512;United States;Columbus;Ohio;East;Madisen Block PhD;renner.rubie@example.com
Plymouth;Prowler;1872;;Passenger;43;35;253;1133;763;1654;285;12;21;6/27/2012;1069844563;United States;Seattle;Washington;West;Madisen Block PhD;renner.rubie@example.com
Pontiac;Sunfire;51645;1379;Passenger;2161;24;150;1041;684;1819;2906;15;27;1/25/2012;620158703;United States;Bristol;Tennessee;South;Anastasia Weimann;myrtle25@example.com
Pontiac;Grand Am;131097;1029;Passenger;1972;34;175;107;704;1863;3091;152;25;11/26/2012;7038973726;United States;Wilmington;Delaware;East;Anastasia Weimann;myrtle25@example.com
Pontiac;Firebird;19911;17805;Passenger;2531;38;200;1011;745;1934;3492;168;25;6/16/2012;8149272616;United States;Wilmington;Delaware;East;Anastasia Weimann;myrtle25@example.com
Pontiac;Grand Prix;92364;1401;Passenger;21665;38;195;1105;727;1965;3396;18;25;10/15/2012;7831816813;United States;Wilmington;Delaware;East;Anastasia Weimann;myrtle25@example.com
Pontiac;Bonneville;35945;13225;Passenger;23755;38;205;1122;726;2025;359;175;24;5/18/2011;826613556;United States;Wilmington;Delaware;East;Anastasia Weimann;myrtle25@example.com
Pontiac;Montana;39572;;Car;25635;34;185;120;727;2013;3942;25;23;7/22/2012;7620843952;United States;Wilmington;Delaware;East;Anastasia Weimann;myrtle25@example.com
Porsche;Boxter;8982;4125;Passenger;4143;27;217;952;701;171;2778;17;22;2/19/2012;934373307;United States;Houston;Texas;Central;Elmira Ernser;hunter.macejkovic@example.com
Porsche;Carrera Coupe;128;60625;Passenger;7102;34;300;926;695;1745;3032;17;21;12/21/2012;1343909754;United States;Bloomington;Illinois;Central;Elmira Ernser;hunter.macejkovic@example.com
Porsche;Carrera Cabrio;1866;6755;Passenger;7497;34;300;926;695;1745;3075;17;23;7/11/2011;1359147096;United States;Phoenix;Arizona;West;Elmira Ernser;hunter.macejkovic@example.com
Saab;5-Sep;9191;;Passenger;3312;23;170;1064;706;1892;328;185;23;11/9/2012;7350377819;United States;Phoenix;Arizona;West;Elmira Ernser;hunter.macejkovic@example.com
Saab;3-Sep;12115;;Passenger;261;2;185;1026;674;1822;299;169;23;6/12/2011;7602304771;United States;Los Angeles;California;West;Paris Kiehn PhD;perry.hintz@example.net
Saturn;SL;8062;92;Passenger;10685;19;100;1024;664;1769;2332;121;33;8/16/2012;3998642475;United States;Los Angeles;California;West;Paris Kiehn PhD;perry.hintz@example.net
Saturn;SC;24546;1059;Passenger;12535;19;100;1024;664;180;2367;121;33;3/16/2011;4070007242;United States;Columbus;Ohio;East;Paris Kiehn PhD;perry.hintz@example.net
Saturn;SW;5223;1079;Passenger;1429;19;124;1024;664;1769;2452;121;31;1/15/2011;4986577367;United States;Columbus;Ohio;East;Paris Kiehn PhD;perry.hintz@example.net
Saturn;LW;8472;;Passenger;18835;22;137;1065;69;1904;3075;131;27;8/5/2011;5629524304;United States;Columbus;Ohio;East;Gene Gorczany;keebler.orrin@example.net
Saturn;LS;49989;;Passenger;1501;22;137;1065;69;1904;291;131;28;12/4/2012;5481972825;United States;Roseville;California;West;Gene Gorczany;keebler.orrin@example.net
Subaru;Outback;47107;;Passenger;22695;25;165;1035;675;1858;3415;169;25;7/7/2011;677659076;United States;Roseville;California;West;Gene Gorczany;keebler.orrin@example.net
Subaru;Forester;33028;;Car;20095;25;165;994;683;1752;3125;159;24;9/10/2012;6676294331;United States;Roseville;California;West;Gene Gorczany;keebler.orrin@example.net
Toyota;Corolla;142535;10025;Passenger;13108;18;120;97;667;174;242;132;33;4/11/2011;4796897242;United States;Roseville;California;West;Gene Gorczany;keebler.orrin@example.net
Toyota;Camry;247994;13245;Passenger;17518;22;133;1052;701;1885;2998;185;27;2/10/2011;5437241965;United States;Roseville;California;West;Gene Gorczany;keebler.orrin@example.net
Toyota;Avalon;63849;1814;Passenger;25545;3;210;1071;717;1919;3417;185;26;8/31/2011;8491189826;United States;Roseville;California;West;Filomena Treutel DVM;america.abshire@example.com
Toyota;Celica;33269;15445;Passenger;16875;18;140;1024;683;1705;2425;145;31;12/29/2012;5649603034;United States;Roseville;California;West;Filomena Treutel DVM;america.abshire@example.com
Toyota;Tacoma;84087;9575;Car;11528;24;142;1033;665;1787;258;151;23;8/1/2011;5529711658;United States;Philadelphia;Pennsylvania;East;Filomena Treutel DVM;america.abshire@example.com
Toyota;Sienna;65119;;Car;22368;3;194;1142;734;1935;3759;209;22;10/5/2012;7802721947;United States;San Francisco;California;West;Filomena Treutel DVM;america.abshire@example.com
Toyota;RAV4;25106;13325;Car;16888;2;127;949;667;1638;2668;153;27;5/6/2011;5195510887;United States;San Francisco;California;West;Filomena Treutel DVM;america.abshire@example.com
Toyota;4Runner;68411;19425;Car;22288;27;150;1053;665;1833;344;185;23;3/7/2011;6235557713;United States;San Francisco;California;West;Jayne Corkery Jr.;sim15@example.com
Toyota;Land Cruiser;9835;3408;Car;51728;47;230;1122;764;1925;5115;254;15;9/25/2011;1025289842;United States;Independence;Missouri;Central;Jayne Corkery Jr.;sim15@example.com
Volkswagen;Golf;9761;11425;Passenger;149;2;115;989;683;1633;2767;145;26;1/24/2011;4694387676;United States;Pasadena;California;West;Jayne Corkery Jr.;sim15@example.com
Volkswagen;Jetta;83721;1324;Passenger;167;2;115;989;683;1723;2853;145;26;8/27/2011;4763823666;United States;Newark;Ohio;East;Jayne Corkery Jr.;sim15@example.com
Volkswagen;Passat;51102;16725;Passenger;212;18;150;1064;685;1841;3043;164;27;10/30/2012;6170138136;United States;Franklin;Wisconsin;Central;Jayne Corkery Jr.;sim15@example.com
Volkswagen;Cabrio;9569;16575;Passenger;1999;2;115;974;667;1604;3079;137;26;5/31/2011;4890737225;United States;Franklin;Wisconsin;Central;Mrs. Dolly Kassulke IV;mbernier@example.net
Volkswagen;GTI;5596;1376;Passenger;175;2;115;989;683;1633;2762;146;26;4/1/2011;4794684106;United States;Franklin;Wisconsin;Central;Mrs. Dolly Kassulke IV;mbernier@example.net
Volkswagen;Beetle;49463;;Passenger;159;2;115;989;679;1611;2769;145;26;10/20/2011;4732963226;United States;Franklin;Wisconsin;Central;Mrs. Dolly Kassulke IV;mbernier@example.net
Volvo;S40;16957;;Passenger;234;19;160;1005;676;1766;2998;158;25;2/18/2011;661130568;United States;Scottsdale;Arizona;West;Mrs. Dolly Kassulke IV;mbernier@example.net
